,S_MASS,P_PERIOD,P_DISTANCE,P_HABITABLE
940,0.34,1.5227591,0.018080579,0
941,0.1,26.13,0.079293795,0
942,1.7,605.2,1.70544,0
943,1.5,357.8,1.104455,0
944,1.12,1157.0,3.015792,0
945,0.75,14901.993,10.964246,0
946,0.55,13.102,0.088,0
947,1.22,1107.5923,2.7250917,0
948,1.94,1056.4,2.5845,0
949,0.83,14.64558,0.11007111,0
950,1.39,675.47,1.708439,0
951,0.88,17132.159,12.537628,0
952,1.39,1888.0,3.3971558,0
953,0.61,3.792622,0.040468918,0
954,0.99,60.323105,0.30001848,0
955,1.8,613.2,1.74896,0
956,0.86,41.008011,0.216,0
957,0.94,3.26664,0.042356,0
958,0.87,3.005156,0.037899675,0
959,0.96,118.3807,0.4712425,0
960,0.75,6.9210102,0.059,0
962,0.91,2.7970365,0.038,0
963,0.95,12.949,0.10694222,0
964,0.84,1.9227987,0.029,0
965,1.23,127.83381,0.5829,0
966,0.95,6.919798,0.069,0
967,0.94,5.687945,0.064,0
969,0.59,11.350119,0.0796,0
970,0.86,33.199565,0.1894,0
971,1.01,23.584477,0.1583,0
972,0.96,1.796302,0.027,0
973,1.11,15.660544,0.13,0
974,0.97,11.379349,0.101,0
975,0.96,16.877274,0.1245,0
976,0.91,116.3319,0.4451,0
977,1.01,14.374574,0.1137,0
978,0.79,15.955387,0.116,0
979,0.49,0.89304124,0.0143,0
980,0.7,1.4112299,0.0221,0
981,1.86,256.78,1.1271438,0
982,0.78,1.2195683,0.0204,0
983,0.91,0.8374907,0.01685,0
984,1.1,35.736,0.2236,0
985,1.3,14.553976,0.1256,0
986,0.81,53.529349,0.2548,0
987,1.23,9.9406725,0.0953,0
988,0.77,3.1268622,0.0414,0
989,1.03,1.1947268,0.02234,0
990,1.4,22000.0,18.1016,0
991,1.02,18.7992,0.13947857,0
992,1.02,12.51937,0.1062071,0
993,1.41,3.1414391,0.047236543,0
995,0.96,5.902206,0.063,0
996,0.84,3.33616,0.042,0
997,0.13,1.865169,0.01540308,0
998,1.0,4.0258225,0.0483,0
999,1.06,24.757642,0.1688,0
1000,0.8,0.84338011,0.0163,0
1001,0.92,5.3227406,0.06,0
1002,1.15,20.740284,0.154,0
1003,0.93,12.057072,0.0984,0
1004,1.23,25.8476,0.1761,0
1005,0.57,1.937055,0.024,0
1006,0.85,32.29688,0.1885,0
1007,1.08,134.4628,0.5135,0
1008,0.86,25.209715,0.1758408,0
1009,0.73,2.0478,0.0296,0
1010,0.82,3.9496314,0.0463,0
1011,1.05,20.4998,0.1528,0
1012,0.92,4.544439,0.053,0
1013,1.0,16.2385,0.126039,0
1014,1.02,1.678328,0.027905357,0
1015,1.07,40.714955,0.232,0
1016,0.53,15.819,0.1013232,0
1017,0.85,122.1,0.486588,0
1018,0.81,7.240193,0.067,0
1019,0.83,12.124009,0.0965,0
1020,1.02,26.3162,0.17427016,0
1021,1.32,5.616531,0.066,0
1022,1.02,20.4415,0.14729443,0
1023,0.86,5.524242,0.061,0
1024,1.03,10.573753,0.10015834,0
1025,0.91,1728.0,2.7767152,0
1026,0.95,6.885875,0.07,0
1027,0.89,12.645164,0.099,0
1028,1.04,41.805985,0.2329,0
1029,1.06,41.697998,0.2359,0
1030,0.89,14.532442,0.1083,0
1031,0.96,5.7385647,0.0632,0
1032,0.95,6.393025,0.066255468,0
1034,0.89,81.73778,0.36323657,0
1035,1.25,3.4982,0.048626308,0
1036,1.14,490.0,1.326,0
1037,1.2,124.9144,0.48,0
1038,0.72,8.8656511,0.0734,0
1040,0.78,1.4324752,0.023147513,0
1041,0.85,49.2519,0.2520688,0
1042,1.12,1.9622933,0.03185,0
1043,1.24,3.2443141,0.04611,0
1044,1.39,5.644207,0.074344967,0
1045,1.23,428.5,1.2023379,0
1046,0.44,17.66484,0.101,0
1047,0.8,13.673694,0.1039,0
1048,0.73,84.8396,0.34140726,0
1049,0.82,24.6744,0.15574069,0
1050,0.74,61.3,0.2758774,0
1051,0.99,5.4483253,0.0603,0
1052,1.0,12.883,0.1072,0
1053,1.08,12.8159,0.11055911,0
1054,0.87,12.00096,0.0906,0
1055,0.97,22.597053,0.148,0
1056,0.82,10.04156,0.087,0
1057,1.04,27.572274,0.1834,0
1058,0.6,7.416397,0.061,0
1059,0.98,18.010199,0.136,0
1060,0.86,7.34371,0.0697,0
1061,0.89,8.2774401,0.077,0
1062,0.95,13.3397,0.10921514,0
1064,1.05,3.292781,0.045,0
1065,1.11,10.7421,0.0990198,0
1066,0.92,2.369172,0.033879105,0
1067,0.89,4.5923801,0.0519,0
1068,1.17,52.0902,0.28708969,0
1069,0.22,1.565409,0.0182,0
1070,1.08,35.3331,0.23302659,0
1071,0.65,20.837846,0.128,0
1072,1.25,4.9195838,0.0605,0
1073,1.21,42.6318,0.26,0
1074,1.28,13.285356,0.1179,0
1075,0.99,13.060855,0.108,0
1076,0.56,1.5237282,0.0208,0
1077,1.04,45.154,0.25160112,0
1078,1.08,6.88705,0.073680382,0
1079,1.02,12.758005,0.107,0
1080,1.3,54.280749,0.297,0
1081,0.87,31.509728,0.18602381,0
1082,0.75,16.797139,0.1158,0
1083,0.78,15.362628,0.1126,0
1084,0.89,7.171,0.0699,0
1085,1.03,56.633742,0.287,0
1086,1.14,12.57201,0.1072,0
1087,0.61,6.668391,0.058,0
1088,1.17,47.318218,0.269,0
1089,0.92,8.306,0.0766,0
1090,1.2,66.557906,0.38,0
1091,1.07,5.341853,0.059,0
1092,0.81,1.6329,0.026,0
1093,0.82,2.8531336,0.0367,0
1094,1.01,51.111024,0.2668,0
1095,0.9,15.943,0.1194,0
1096,1.1,8.7961786,0.0872,0
1097,1.11,4.938864,0.059,0
1098,1.05,23.44281,0.163,0
1099,0.61,7.415563,0.066,0
1100,1.1,191.2318,0.6765141,0
1101,1.1,7.9901963,0.0785,0
1102,0.55,5.795278,0.051,0
1104,0.82,6.186676,0.064,0
1105,0.81,17.738506,0.128,0
1106,1.06,12.51616,0.11,0
1107,0.68,53.578637,0.253,0
1108,1.01,42.521589,0.2391,0
1109,1.15,18.605194,0.1499,0
1110,1.03,8.1818246,0.0759,0
1111,0.66,22.92881,0.136,0
1112,1.06,18.016211,0.1369,0
1113,1.18,4.9033216,0.0594,0
1114,0.79,811.3,1.576218,0
1115,1.21,40.74976,0.25000845,0
1116,0.61,3477.768,3.853704,0
1117,1.2,11.5789,0.106,0
1118,1.01,3.22748,0.0429,0
1119,1.07,29.9221,0.1954,0
1120,1.15,34.921,0.2199,0
1121,0.97,45.348269,0.236,0
1122,0.94,16.223713,0.1212,0
1123,1.1,8.1850495,0.0794,0
1124,1.08,9.024389,0.087,0
1125,0.96,11.018168,0.0985,0
1126,1.05,7.781987,0.078,0
1127,1.06,27.434389,0.181,0
1128,0.96,76.957857,0.3436,0
1129,0.99,4.3703454,0.0519,0
1130,1.06,2.0323251,0.0326,0
1131,0.94,23.198681,0.1595,0
1132,0.83,8.77424,0.0784,0
1133,0.81,307.88,0.835976,0
1134,0.83,4.148141,0.048,0
1135,0.88,65.647842,0.3197,0
1136,1.0,65.648834,0.3094,0
1137,1.01,31.175045,0.1942,0
1138,0.8,16.29509,0.116,0
1139,1.02,9.4896157,0.0879,0
1140,0.81,0.68368426,0.0089,0
1141,0.88,214.88655,0.6687,0
1142,1.06,2.7160381,0.0396,0
1143,1.18,82.177374,0.373,0
1144,0.7,2.399964,0.03126195,0
1145,0.98,9.9193568,0.0871,0
1146,0.76,11.763051,0.095,0
1147,0.97,10.687576,0.092,0
1148,0.98,7.411141,0.0748,0
1149,0.77,22.476443,0.131,0
1150,1.18,0.719573,0.01661,0
1151,0.36,8.962,0.066627,0
1152,0.86,3.177422,0.039,0
1153,0.9,16.239494,0.123,0
1154,0.85,82.304003,0.3704,0
1155,1.33,23.44971,0.1764,0
1156,0.82,12.31043,0.096,0
1157,0.86,2.9365847,0.0372,0
1158,0.95,9.1096711,0.0862,0
1159,0.96,12.400047,0.10340675,0
1160,0.86,13.060022,0.101,0
1161,0.83,15.655627,0.1128,0
1162,0.87,15.228958,0.116,0
1163,1.06,16.007583,0.127,0
1164,0.98,8.594805,0.08,0
1165,0.93,18.492357,0.1254,0
1166,1.26,1.6442246,0.0293,0
1167,0.8,0.3693038,0.00936,0
1168,0.24,1.9495378,0.01848,0
1169,0.92,5.6057,0.060048,0
1170,1.26,22.89104,0.14312024,0
1171,1.03,4.0684496,0.0504,0
1172,1.0,4.0378962,0.049670354,0
1173,0.89,5.8966098,0.0614,0
1174,0.8,5.286965,0.05548605,0
1175,1.06,14.0264,0.116,0
1176,0.95,66.373379,0.3237,0
1177,0.58,3.340222,0.037,0
1178,0.94,16.329762,0.1255,0
1179,0.88,12.253832,0.1016,0
1180,0.82,11.9101,0.095724354,0
1181,1.11,21.869741,0.1649241,0
1182,1.19,6.99205,0.076163992,0
1183,0.75,16.473569,0.1126,0
1184,0.98,80.872064,0.3577,0
1185,0.94,2.3703074,0.0344,0
1186,0.91,13.260798,0.1065,0
1187,1.07,1.008035,0.02012,0
1188,0.54,3.633575,0.03765855,0
1189,0.23,6.38784,0.0402,0
1190,0.47,10.2152,0.1,0
1191,0.88,7.650254,0.072,0
1192,0.91,22.366561,0.1449,0
1193,0.97,30.0,0.17,0
1194,1.11,3.7059895,0.0469,0
1195,0.94,9.926746,0.09,0
